depth,age
1.159249999999999972e+02,5.392898398141259975e+01
1.159500000000000028e+02,5.393157039405210185e+01
1.159749999999999943e+02,5.393415680669149737e+01
1.160000000000000000e+02,5.393674321933089999e+01
1.160250000000000057e+02,5.393932963197030261e+01
1.160499999999999972e+02,5.394191604460969813e+01
1.160750000000000028e+02,5.394450245724910076e+01
1.160999999999999943e+02,5.394708886988850338e+01
1.161250000000000000e+02,5.394958157317069691e+01
1.161500000000000057e+02,5.395169943902440224e+01
1.161749999999999972e+02,5.395381730487800098e+01
1.162000000000000028e+02,5.395593517073169920e+01
1.162249999999999943e+02,5.395805303658539742e+01
1.162500000000000000e+02,5.396017090243900327e+01
